issue_id,legacy_proposal_id,current_proposal_id,issue_type,severity,field_name,legacy_value,current_value,recommended_action
QA-0016,LP-2026-00599,EP2-000599,SUBMISSION_DATE_MISMATCH,Medium,submission_date,20260310,ISO 2026-03-12T12:00:00Z,Confirm the authoritative submission timestamp and timezone rule.
QA-0017,LP-2024-00604,EP2-000604,INVALID_COLLEGE,Medium,college_code,College of Health Sciences,ZZZ,Resolve the organization code against the college crosswalk.
QA-0018,LP-2023-00611,EP2-000611,DUPLICATE_RECORD,High,record,1 source record,2 target records,Retain the latest valid record and review the upstream merge key.
QA-0019,LP-2024-00658,EP2-000658,AWARD_AMOUNT_MISMATCH,High,awarded_amount,113900.00,108900.00,Validate obligated amount against the authoritative award record.
QA-0020,LP-2025-00689,EP2-000689,AWARD_AMOUNT_MISMATCH,High,awarded_amount,40700.00,39700.00,Validate obligated amount against the authoritative award record.
QA-0021,LP-2026-00782,EP2-000782,MISSING_INVESTIGATOR,High,investigator_id,I1172,NULL,Restore the researcher key using the investigator crosswalk.
QA-0022,LP-2025-00786,EP2-000786,REQUEST_AMOUNT_MISMATCH,High,requested_amount,15000.00,17500.00,Reconcile amount transformations and confirm currency/rounding logic.
QA-0023,LP-2025-00830,EP2-000830,UNMAPPED_STATUS,Medium,proposal_status,ACT,LEGACY_ONLY,Add or correct the workflow status mapping before publication.
QA-0024,LP-2024-00921,EP2-000921,SUBMISSION_DATE_MISMATCH,Medium,submission_date,20240817,ISO 2024-08-20T12:00:00Z,Confirm the authoritative submission timestamp and timezone rule.
QA-0025,LP-2024-00936,EP2-000936,INVALID_SPONSOR,Medium,sponsor_id,National Science Foundation,S999,Resolve the sponsor identifier against the sponsor master table.
QA-0026,LP-2025-00952,EP2-000952,REQUEST_AMOUNT_MISMATCH,High,requested_amount,80800.00,81300.00,Reconcile amount transformations and confirm currency/rounding logic.
QA-0027,LP-2023-01014,,MISSING_MIGRATION,Critical,record,Present,Missing,Re-run migration for the missing proposal and validate the source extract window.
QA-0028,LP-2023-01169,EP2-001169,DUPLICATE_RECORD,High,record,1 source record,2 target records,Retain the latest valid record and review the upstream merge key.
QA-0029,LP-2024-01261,EP2-001261,AWARD_AMOUNT_MISMATCH,High,awarded_amount,51300.00,48800.00,Validate obligated amount against the authoritative award record.
QA-0030,LP-2026-01305,,MISSING_MIGRATION,Critical,record,Present,Missing,Re-run migration for the missing proposal and validate the source extract window.
QA-0031,LP-2025-01465,EP2-001465,UNMAPPED_STATUS,Medium,proposal_status,ACT,LEGACY_ONLY,Add or correct the workflow status mapping before publication.
QA-0032,LP-2025-01541,EP2-001541,DUPLICATE_RECORD,High,record,1 source record,2 target records,Retain the latest valid record and review the upstream merge key.
QA-0033,LP-2025-01559,EP2-001559,SUBMISSION_DATE_MISMATCH,Medium,submission_date,20250529,ISO 2025-05-30T12:00:00Z,Confirm the authoritative submission timestamp and timezone rule.
QA-0034,LP-2024-01593,,MISSING_MIGRATION,Critical,record,Present,Missing,Re-run migration for the missing proposal and validate the source extract window.
QA-0035,LP-2026-01665,EP2-001665,DUPLICATE_RECORD,High,record,1 source record,2 target records,Retain the latest valid record and review the upstream merge key.
QA-0036,LP-2025-01776,EP2-001776,MISSING_INVESTIGATOR,High,investigator_id,I1052,NULL,Restore the researcher key using the investigator crosswalk.
QA-0037,LP-2024-01781,EP2-001781,REQUEST_AMOUNT_MISMATCH,High,requested_amount,38200.00,38700.00,Reconcile amount transformations and confirm currency/rounding logic.
QA-0038,LP-2025-01818,EP2-001818,AWARD_AMOUNT_MISMATCH,High,awarded_amount,299200.00,298200.00,Validate obligated amount against the authoritative award record.
QA-0039,LP-2023-01859,,MISSING_MIGRATION,Critical,record,Present,Missing,Re-run migration for the missing proposal and validate the source extract window.
QA-0040,LP-2025-01904,,MISSING_MIGRATION,Critical,record,Present,Missing,Re-run migration for the missing proposal and validate the source extract window.
QA-0041,LP-2024-01933,EP2-001933,REQUEST_AMOUNT_MISMATCH,High,requested_amount,232700.00,233700.00,Reconcile amount transformations and confirm currency/rounding logic.
QA-0042,LP-2024-01962,EP2-001962,AWARD_AMOUNT_MISMATCH,High,awarded_amount,59600.00,54600.00,Validate obligated amount against the authoritative award record.
QA-0043,LP-2023-02035,EP2-002035,INVALID_COLLEGE,Medium,college_code,College of Humanities,ZZZ,Resolve the organization code against the college crosswalk.
QA-0044,LP-2024-02067,EP2-002067,REQUEST_AMOUNT_MISMATCH,High,requested_amount,229300.00,229800.00,Reconcile amount transformations and confirm currency/rounding logic.
QA-0045,LP-2025-02192,EP2-002192,MISSING_INVESTIGATOR,High,investigator_id,I1125,NULL,Restore the researcher key using the investigator crosswalk.
QA-0046,LP-2023-02224,EP2-002224,DUPLICATE_RECORD,High,record,1 source record,2 target records,Retain the latest valid record and review the upstream merge key.
QA-0047,LP-2024-02282,,MISSING_MIGRATION,Critical,record,Present,Missing,Re-run migration for the missing proposal and validate the source extract window.
QA-0048,LP-2025-02283,EP2-002283,AWARD_AMOUNT_MISMATCH,High,awarded_amount,545400.00,544400.00,Validate obligated amount against the authoritative award record.
QA-0049,LP-2023-02289,,MISSING_MIGRATION,Critical,record,Present,Missing,Re-run migration for the missing proposal and validate the source extract window.
QA-0050,LP-2024-02357,EP2-002357,DUPLICATE_RECORD,High,record,1 source record,2 target records,Retain the latest valid record and review the upstream merge key.
QA-0051,LP-2026-02387,EP2-002387,MISSING_INVESTIGATOR,High,investigator_id,I1030,NULL,Restore the researcher key using the investigator crosswalk.
QA-0052,LP-2026-02464,EP2-002464,INVALID_SPONSOR,Medium,sponsor_id,Urban Resilience Network,S999,Resolve the sponsor identifier against the sponsor master table.
